step,hour,day,timestamp,wind_speed_m_per_s,wind_dir_deg,fire_front_cells,fire_affected_cells,failed_buses,failed_lines,grid_served_mw,customers_connected,customers_disconnected,saidi_minutes,min_bus_vm_pu,mean_bus_vm_pu,pf_converged,fire_burned_cells
1,1.0,0.041666666666666664,2025-01-07T01:00:00,11.708831175456856,225.0,39.0,52.0,0.0,4.0,35000.0,7000000.0,0.0,0.0,0.9863078673958167,1.0188356189606615,1.0,13
2,2.0,0.08333333333333333,2025-01-07T02:00:00,10.56461709275204,225.0,77.0,190.0,0.0,8.0,34992.428331081275,6998485.666216255,1514.3337837449508,0.012980003860671007,0.9862873285538546,1.0183171757752298,1.0,113
3,3.0,0.125,2025-01-07T03:00:00,9.845334050718705,225.0,109.0,386.0,0.0,12.0,34942.87346180294,6988574.692360588,11425.307639411767,0.11091121219848615,0.9862880887315595,1.0183302673070078,1.0,277
4,4.0,0.16666666666666666,2025-01-07T04:00:00,9.6,225.0,155.0,666.0,2.0,16.0,34930.70185019992,6986140.370039984,13859.629960016173,0.2297080404271962,0.9862867731735537,1.0183250782289017,1.0,511
5,5.0,0.20833333333333334,2025-01-07T05:00:00,9.845334050718709,225.0,172.0,1009.0,2.0,22.0,34867.3032973949,6973460.65947898,26539.340521019767,0.457188102035937,0.986320197077153,1.0183534158460361,1.0,837
6,6.0,0.25,2025-01-07T06:00:00,10.56461709275204,225.0,211.0,1422.0,4.0,31.0,34853.060194767815,6970612.038953563,29387.961046436976,0.7090849110053968,0.9850466006355113,1.0170891389752372,1.0,1211
7,7.0,0.2916666666666667,2025-01-07T07:00:00,11.708831175456858,225.0,365.0,2102.0,6.0,33.0,34841.42136794618,6968284.273589237,31715.726410763455,0.9809339945262263,0.985045035561679,1.017090404815596,1.0,1737
8,8.0,0.3333333333333333,2025-01-07T08:00:00,13.2,225.0,465.0,3024.0,9.0,49.0,34717.41093596109,6943482.187192217,56517.81280778232,1.4653723900215034,0.9847305473568527,1.0165925973768533,1.0,2559
9,9.0,0.375,2025-01-07T09:00:00,14.93650287526185,225.0,613.0,4199.0,18.0,78.0,34307.83332029021,6861566.664058042,138433.33594195865,2.6519438409525775,0.984208843914001,1.0132742807842603,1.0,3586
10,10.0,0.4166666666666667,2025-01-07T10:00:00,16.799999999999997,225.0,812.0,5747.0,35.0,111.0,33607.888775677,6721577.755135399,278422.24486460036,5.038420225506295,0.9815498604697943,1.0117988650567855,1.0,4935
11,11.0,0.4583333333333333,2025-01-07T11:00:00,18.66349712473815,225.0,982.0,7680.0,52.0,139.0,32936.28909321001,6587257.8186420025,412742.18135799747,8.576210351431987,0.9816770525988591,1.0112725639488978,1.0,6698
12,12.0,0.5,2025-01-07T12:00:00,20.4,225.0,1206.0,9969.0,88.0,183.0,32674.037170062693,6534807.434012539,465192.5659874614,12.563575202753084,0.9821089097221112,1.0113598361542129,1.0,8763
13,13.0,0.5416666666666666,2025-01-07T13:00:00,21.891168824543144,225.0,1378.0,12534.0,114.0,223.0,32063.211008238162,6412642.201647633,587357.7983523675,17.598070617201948,0.9839124938481097,1.0119980907087436,1.0,11156
14,14.0,0.5833333333333334,2025-01-07T14:00:00,23.035382907247957,225.0,1536.0,15529.0,133.0,252.0,31466.92713086636,6293385.426173272,706614.5738267282,23.65476696428819,0.984105955579886,1.0126469533607165,1.0,13993
15,15.0,0.625,2025-01-07T15:00:00,23.75466594928129,225.0,1694.0,18809.0,157.0,273.0,31440.286582559565,6288057.316511913,711942.6834880869,29.757132822757505,0.984035903561641,1.0124046201673746,1.0,17115
16,16.0,0.6666666666666666,2025-01-07T16:00:00,24.0,225.0,1801.0,22357.0,180.0,290.0,31440.286582559565,6288057.316511913,711942.6834880869,35.85949868122682,0.9836862700443842,1.0119119387759083,1.0,20556
17,17.0,0.7083333333333334,2025-01-07T17:00:00,23.75466594928129,225.0,1896.0,26096.0,180.0,296.0,31440.286582559565,6288057.316511913,711942.6834880869,41.96186453969613,0.9836862700443842,1.0119119387759083,1.0,24200
18,18.0,0.75,2025-01-07T18:00:00,23.035382907247957,225.0,2041.0,30110.0,190.0,304.0,31440.286582559565,6288057.316511913,711942.6834880869,48.06423039816545,0.9836862700443842,1.0119119387759083,1.0,28069
19,19.0,0.7916666666666666,2025-01-07T19:00:00,21.891168824543144,225.0,2181.0,34383.0,191.0,304.0,31440.28658255957,6288057.316511914,711942.6834880862,54.166596256634755,0.9836862700443842,1.0119119387759083,1.0,32202
20,20.0,0.8333333333333334,2025-01-07T20:00:00,20.4,225.0,2259.0,38794.0,191.0,306.0,31344.65681029595,6268931.36205919,731068.6379408101,60.432898867555984,0.9836895952279021,1.01189562966156,1.0,36535
21,21.0,0.875,2025-01-07T21:00:00,18.66349712473815,225.0,1960.0,42734.0,193.0,309.0,31334.42451766381,6266884.903532762,733115.0964672379,66.71674255156088,0.9836882085492374,1.0118845353798709,1.0,40774
22,22.0,0.9166666666666666,2025-01-07T22:00:00,16.799999999999997,225.0,2120.0,46729.0,195.0,309.0,31334.424517663814,6266884.903532763,733115.0964672372,73.00058623556576,0.9836882085492373,1.0118845353798709,1.0,44609
23,23.0,0.9583333333333334,2025-01-07T23:00:00,14.93650287526185,225.0,1783.0,50307.0,198.0,312.0,31334.42451766381,6266884.903532762,733115.0964672379,79.28442991957067,0.9836882085492372,1.0118845353798709,1.0,48524
24,24.0,1.0,2025-01-08T00:00:00,13.2,225.0,1349.0,52913.0,198.0,315.0,31334.42451766381,6266884.903532762,733115.0964672379,85.56827360357558,0.9836882085492371,1.0118845353798707,1.0,51564
25,25.0,1.0416666666666667,2025-01-08T01:00:00,11.708831175456856,225.0,1043.0,54959.0,199.0,316.0,31334.424517663814,6266884.903532763,733115.0964672372,91.85211728758046,0.983688208549237,1.0118845353798709,1.0,53916
26,26.0,1.0833333333333333,2025-01-08T02:00:00,10.56461709275204,225.0,745.0,56553.0,200.0,316.0,31334.424517663814,6266884.903532763,733115.0964672372,98.13596097158535,0.9836882085492369,1.0118845353798709,1.0,55808
27,27.0,1.125,2025-01-08T03:00:00,9.845334050718705,225.0,584.0,57772.0,200.0,316.0,31334.424517663814,6266884.903532763,733115.0964672372,104.41980465559023,0.9836882085492368,1.0118845353798709,1.0,57188
28,28.0,1.1666666666666667,2025-01-08T04:00:00,9.6,225.0,472.0,58755.0,200.0,316.0,31334.424517663814,6266884.903532763,733115.0964672372,110.70364833959512,0.9836882085492367,1.0118845353798709,1.0,58283
29,29.0,1.2083333333333333,2025-01-08T05:00:00,9.845334050718709,225.0,462.0,59671.0,201.0,318.0,31334.424517663814,6266884.903532763,733115.0964672372,116.9874920236,0.9836882085492366,1.0118845353798709,1.0,59209
30,30.0,1.25,2025-01-08T06:00:00,10.56461709275204,225.0,548.0,60756.0,201.0,320.0,31334.424517663814,6266884.903532763,733115.0964672372,123.27133570760489,0.9836882085492364,1.0118845353798709,1.0,60208
31,31.0,1.2916666666666667,2025-01-08T07:00:00,11.708831175456858,225.0,677.0,62088.0,202.0,320.0,31334.424517663814,6266884.903532763,733115.0964672372,129.55517939160978,0.9836882085492363,1.0118845353798709,1.0,61411
32,32.0,1.3333333333333333,2025-01-08T08:00:00,13.2,225.0,1076.0,64115.0,205.0,320.0,31334.424517663814,6266884.903532763,733115.0964672372,135.83902307561465,0.9836882085492362,1.0118845353798709,1.0,63039
33,33.0,1.375,2025-01-08T09:00:00,14.93650287526185,225.0,1666.0,67293.0,205.0,320.0,31334.424517663814,6266884.903532763,733115.0964672372,142.12286675961954,0.9836882085492361,1.0118845353798709,1.0,65627
34,34.0,1.4166666666666667,2025-01-08T10:00:00,16.799999999999997,225.0,2656.0,72553.0,207.0,320.0,31334.424517663814,6266884.903532763,733115.0964672372,148.40671044362443,0.983688208549236,1.0118845353798709,1.0,69897
35,35.0,1.4583333333333333,2025-01-08T11:00:00,18.66349712473815,225.0,3235.0,79009.0,207.0,320.0,31334.424517663814,6266884.903532763,733115.0964672372,154.69055412762933,0.9836882085492359,1.0118845353798709,1.0,75774
36,36.0,1.5,2025-01-08T12:00:00,20.4,225.0,3691.0,86437.0,208.0,320.0,31334.424517663814,6266884.903532763,733115.0964672372,160.9743978116342,0.9836882085492358,1.0118845353798709,1.0,82746
37,37.0,1.5416666666666667,2025-01-08T13:00:00,21.891168824543144,225.0,3912.0,94312.0,209.0,322.0,31334.424517663814,6266884.903532763,733115.0964672372,167.25824149563908,0.9836790055662367,1.0118211882014965,1.0,90400
38,38.0,1.5833333333333333,2025-01-08T14:00:00,23.035382907247957,225.0,4085.0,102430.0,209.0,322.0,31334.424517663814,6266884.903532763,733115.0964672372,173.54208517964398,0.9836790055662367,1.0118211882014965,1.0,98345
39,39.0,1.625,2025-01-08T15:00:00,23.75466594928129,225.0,4167.0,110666.0,210.0,324.0,31334.424517663814,6266884.903532763,733115.0964672372,179.82592886364887,0.983665492873211,1.0117436963202655,1.0,106499
40,40.0,1.6666666666666667,2025-01-08T16:00:00,24.0,225.0,4253.0,119097.0,211.0,324.0,31334.424517663814,6266884.903532763,733115.0964672372,186.10977254765373,0.9836654928732111,1.0117436963202657,1.0,114844
41,41.0,1.7083333333333333,2025-01-08T17:00:00,23.75466594928129,225.0,4339.0,127676.0,211.0,324.0,31334.424517663814,6266884.903532763,733115.0964672372,192.39361623165863,0.9836654928732113,1.0117436963202657,1.0,123337
42,42.0,1.75,2025-01-08T18:00:00,23.035382907247957,225.0,3518.0,135261.0,211.0,324.0,31334.424517663814,6266884.903532763,733115.0964672372,198.67745991566352,0.9836654928732114,1.0117436963202657,1.0,131743
