time,demand_mw,solar_mw,wind_mw
2024-07-16 00:00:00-07:00,28709,7,4673
2024-07-16 00:05:00-07:00,28698,7,4638
2024-07-16 00:10:00-07:00,28874,6,4584
2024-07-16 00:15:00-07:00,28731,6,4598
2024-07-16 00:20:00-07:00,28646,6,4608
2024-07-16 00:25:00-07:00,28494,6,4574
2024-07-16 00:30:00-07:00,28344,6,4558
2024-07-16 00:35:00-07:00,28179,6,4552
2024-07-16 00:40:00-07:00,28029,4,4540
2024-07-16 00:45:00-07:00,27845,-17,4515
2024-07-16 00:50:00-07:00,27719,-18,4509
2024-07-16 00:55:00-07:00,27548,-18,4493
2024-07-16 01:00:00-07:00,27401,-18,4456
2024-07-16 01:05:00-07:00,27341,-18,4425
2024-07-16 01:10:00-07:00,27232,-18,4371
2024-07-16 01:15:00-07:00,27113,-18,4304
2024-07-16 01:20:00-07:00,26944,-18,4240
2024-07-16 01:25:00-07:00,26832,-18,4173
2024-07-16 01:30:00-07:00,26697,-18,4137
2024-07-16 01:35:00-07:00,26563,-18,4128
2024-07-16 01:40:00-07:00,26461,-18,4131
2024-07-16 01:45:00-07:00,26318,-18,4131
2024-07-16 01:50:00-07:00,26192,-18,4139
2024-07-16 01:55:00-07:00,26081,-18,4138
2024-07-16 02:00:00-07:00,26000,-19,4160
2024-07-16 02:05:00-07:00,25908,-19,4170
2024-07-16 02:10:00-07:00,25789,-19,4155
2024-07-16 02:15:00-07:00,25721,-19,4132
2024-07-16 02:20:00-07:00,25621,-19,4077
2024-07-16 02:25:00-07:00,25519,-18,4038
2024-07-16 02:30:00-07:00,25432,-18,4007
2024-07-16 02:35:00-07:00,25329,-18,3989
2024-07-16 02:40:00-07:00,25288,-18,3961
2024-07-16 02:45:00-07:00,25190,-18,3952
2024-07-16 02:50:00-07:00,25121,-18,3936
2024-07-16 02:55:00-07:00,25039,-18,3924
2024-07-16 03:00:00-07:00,24967,-18,3901
2024-07-16 03:05:00-07:00,24963,-18,3886
2024-07-16 03:10:00-07:00,24968,-18,3833
2024-07-16 03:15:00-07:00,24924,-18,3840
2024-07-16 03:20:00-07:00,24996,-18,3817
2024-07-16 03:25:00-07:00,24854,-18,3770
2024-07-16 03:30:00-07:00,24895,-18,3717
2024-07-16 03:35:00-07:00,24797,-18,3668
2024-07-16 03:40:00-07:00,24813,-18,3644
2024-07-16 03:45:00-07:00,24722,-18,3636
2024-07-16 03:50:00-07:00,24682,-18,3625
2024-07-16 03:55:00-07:00,24652,-18,3600
2024-07-16 04:00:00-07:00,24665,-18,3595
2024-07-16 04:05:00-07:00,24684,-18,3579
2024-07-16 04:10:00-07:00,24755,-18,3553
2024-07-16 04:15:00-07:00,24767,-18,3512
2024-07-16 04:20:00-07:00,24798,-18,3482
2024-07-16 04:25:00-07:00,24789,-18,3442
2024-07-16 04:30:00-07:00,24791,-18,3411
2024-07-16 04:35:00-07:00,24830,-18,3403
2024-07-16 04:40:00-07:00,24856,-18,3362
2024-07-16 04:45:00-07:00,24867,-18,3365
2024-07-16 04:50:00-07:00,24867,-18,3330
2024-07-16 04:55:00-07:00,24904,-18,3266
2024-07-16 05:00:00-07:00,24945,-17,3220
2024-07-16 05:05:00-07:00,25128,-17,3192
2024-07-16 05:10:00-07:00,25311,-16,3160
2024-07-16 05:15:00-07:00,25419,-17,3137
2024-07-16 05:20:00-07:00,25541,-17,3068
2024-07-16 05:25:00-07:00,25558,-17,3008
2024-07-16 05:30:00-07:00,25622,-18,2979
2024-07-16 05:35:00-07:00,25714,-18,2939
2024-07-16 05:40:00-07:00,25800,-17,2945
2024-07-16 05:45:00-07:00,25804,-15,2963
2024-07-16 05:50:00-07:00,25777,-9,2952
2024-07-16 05:55:00-07:00,25774,8,2934
2024-07-16 06:00:00-07:00,25827,67,2914
2024-07-16 06:05:00-07:00,26112,190,2905
2024-07-16 06:10:00-07:00,26268,373,2883
2024-07-16 06:15:00-07:00,26308,633,2869
2024-07-16 06:20:00-07:00,26334,946,2875
2024-07-16 06:25:00-07:00,26354,1330,2878
2024-07-16 06:30:00-07:00,26378,1800,2833
2024-07-16 06:35:00-07:00,26425,2274,2787
2024-07-16 06:40:00-07:00,26517,2805,2734
2024-07-16 06:45:00-07:00,26494,3385,2691
2024-07-16 06:50:00-07:00,26470,3944,2662
2024-07-16 06:55:00-07:00,26496,4545,2609
2024-07-16 07:00:00-07:00,26478,5242,2576
2024-07-16 07:05:00-07:00,26749,5939,2575
2024-07-16 07:10:00-07:00,26923,6597,2572
2024-07-16 07:15:00-07:00,26962,7309,2571
2024-07-16 07:20:00-07:00,26898,7999,2543
2024-07-16 07:25:00-07:00,26838,8610,2498
2024-07-16 07:30:00-07:00,26951,9313,2478
2024-07-16 07:35:00-07:00,26865,9925,2479
2024-07-16 07:40:00-07:00,26920,10545,2479
2024-07-16 07:45:00-07:00,26875,11195,2498
2024-07-16 07:50:00-07:00,26776,11794,2511
2024-07-16 07:55:00-07:00,26732,12306,2493
2024-07-16 08:00:00-07:00,26713,12694,2490
2024-07-16 08:05:00-07:00,26935,13081,2481
2024-07-16 08:10:00-07:00,26871,13408,2457
2024-07-16 08:15:00-07:00,26852,13693,2474
2024-07-16 08:20:00-07:00,26839,13922,2472
2024-07-16 08:25:00-07:00,26790,14077,2468
2024-07-16 08:30:00-07:00,26762,14228,2475
2024-07-16 08:35:00-07:00,26693,14311,2482
2024-07-16 08:40:00-07:00,26665,14437,2494
2024-07-16 08:45:00-07:00,26586,14399,2484
2024-07-16 08:50:00-07:00,26533,14688,2486
2024-07-16 08:55:00-07:00,26515,14836,2463
2024-07-16 09:00:00-07:00,26575,14969,2399
2024-07-16 09:05:00-07:00,26719,15238,2303
2024-07-16 09:10:00-07:00,26712,15580,2236
2024-07-16 09:15:00-07:00,26671,15839,2146
2024-07-16 09:20:00-07:00,26639,15999,2091
2024-07-16 09:25:00-07:00,26575,16031,2026
2024-07-16 09:30:00-07:00,26722,15916,2019
2024-07-16 09:35:00-07:00,26633,15758,2011
2024-07-16 09:40:00-07:00,26538,15875,1966
2024-07-16 09:45:00-07:00,26438,15946,1926
2024-07-16 09:50:00-07:00,26294,16069,1885
2024-07-16 09:55:00-07:00,26418,16410,1875
2024-07-16 10:00:00-07:00,26483,16646,1842
2024-07-16 10:05:00-07:00,26454,16751,1819
2024-07-16 10:10:00-07:00,26354,16884,1782
2024-07-16 10:15:00-07:00,26345,17051,1778
2024-07-16 10:20:00-07:00,26377,17103,1788
2024-07-16 10:25:00-07:00,26249,17128,1811
2024-07-16 10:30:00-07:00,26178,17132,1847
2024-07-16 10:35:00-07:00,26150,17168,1893
2024-07-16 10:40:00-07:00,26168,17259,1886
2024-07-16 10:45:00-07:00,26157,17304,1873
2024-07-16 10:50:00-07:00,26142,17321,1876
2024-07-16 10:55:00-07:00,26135,17360,1886
2024-07-16 11:00:00-07:00,26176,17345,1902
2024-07-16 11:05:00-07:00,26231,17309,1934
2024-07-16 11:10:00-07:00,26385,17380,1949
2024-07-16 11:15:00-07:00,26460,17420,1962
2024-07-16 11:20:00-07:00,26415,17450,1962
2024-07-16 11:25:00-07:00,26507,17507,1975
2024-07-16 11:30:00-07:00,26602,17608,1999
2024-07-16 11:35:00-07:00,26597,17909,2018
2024-07-16 11:40:00-07:00,26562,18077,1995
2024-07-16 11:45:00-07:00,26579,18101,2009
2024-07-16 11:50:00-07:00,26741,17996,2046
2024-07-16 11:55:00-07:00,26907,17965,2055
2024-07-16 12:00:00-07:00,27045,18001,2020
2024-07-16 12:05:00-07:00,27144,18099,2046
2024-07-16 12:10:00-07:00,27221,18116,2077
2024-07-16 12:15:00-07:00,27285,18119,2080
2024-07-16 12:20:00-07:00,27306,18143,2089
2024-07-16 12:25:00-07:00,27375,18147,2093
2024-07-16 12:30:00-07:00,27475,18012,2074
2024-07-16 12:35:00-07:00,27670,17912,2079
2024-07-16 12:40:00-07:00,27796,17899,2087
2024-07-16 12:45:00-07:00,27963,17848,2094
2024-07-16 12:50:00-07:00,28091,17877,2114
2024-07-16 12:55:00-07:00,28297,17974,2120
2024-07-16 13:00:00-07:00,28384,18004,2129
2024-07-16 13:05:00-07:00,28535,18004,2142
2024-07-16 13:10:00-07:00,28432,17892,2194
2024-07-16 13:15:00-07:00,28322,17831,2270
2024-07-16 13:20:00-07:00,28416,17830,2298
2024-07-16 13:25:00-07:00,28583,17827,2365
2024-07-16 13:30:00-07:00,28635,17786,2391
2024-07-16 13:35:00-07:00,28767,17698,2418
2024-07-16 13:40:00-07:00,28831,17683,2473
2024-07-16 13:45:00-07:00,29009,17649,2536
2024-07-16 13:50:00-07:00,29118,17642,2601
2024-07-16 13:55:00-07:00,29242,17449,2694
2024-07-16 14:00:00-07:00,29435,17402,2769
2024-07-16 14:05:00-07:00,29600,17660,2873
2024-07-16 14:10:00-07:00,29714,17736,2933
2024-07-16 14:15:00-07:00,29839,17661,3004
2024-07-16 14:20:00-07:00,29992,17805,3048
2024-07-16 14:25:00-07:00,30094,17802,3103
2024-07-16 14:30:00-07:00,30268,17625,3125
2024-07-16 14:35:00-07:00,30406,17625,3166
2024-07-16 14:40:00-07:00,30509,17631,3210
2024-07-16 14:45:00-07:00,30722,17536,3237
2024-07-16 14:50:00-07:00,30893,17697,3308
2024-07-16 14:55:00-07:00,31019,17599,3310
2024-07-16 15:00:00-07:00,31214,17463,3355
2024-07-16 15:05:00-07:00,31349,17552,3416
2024-07-16 15:10:00-07:00,31535,17575,3415
2024-07-16 15:15:00-07:00,31682,17421,3436
2024-07-16 15:20:00-07:00,31899,17509,3560
2024-07-16 15:25:00-07:00,32040,17465,3596
2024-07-16 15:30:00-07:00,32121,17278,3584
2024-07-16 15:35:00-07:00,32317,17367,3666
2024-07-16 15:40:00-07:00,32507,17307,3761
2024-07-16 15:45:00-07:00,32628,17073,3824
2024-07-16 15:50:00-07:00,32732,17061,3889
2024-07-16 15:55:00-07:00,33005,17027,3990
2024-07-16 16:00:00-07:00,33188,16885,4086
2024-07-16 16:05:00-07:00,33099,16969,4160
2024-07-16 16:10:00-07:00,33163,17006,4263
2024-07-16 16:15:00-07:00,33381,16811,4302
2024-07-16 16:20:00-07:00,33508,16742,4280
2024-07-16 16:25:00-07:00,33689,16517,4309
2024-07-16 16:30:00-07:00,33840,16269,4394
2024-07-16 16:35:00-07:00,33983,16331,4425
2024-07-16 16:40:00-07:00,34190,16293,4458
2024-07-16 16:45:00-07:00,34351,16115,4504
2024-07-16 16:50:00-07:00,34522,16129,4558
2024-07-16 16:55:00-07:00,34706,15973,4583
2024-07-16 17:00:00-07:00,34827,15660,4608
2024-07-16 17:05:00-07:00,34842,15687,4656
2024-07-16 17:10:00-07:00,34832,15478,4724
2024-07-16 17:15:00-07:00,35043,15102,4755
2024-07-16 17:20:00-07:00,35218,15051,4779
2024-07-16 17:25:00-07:00,35336,14956,4774
2024-07-16 17:30:00-07:00,35540,14598,4818
2024-07-16 17:35:00-07:00,35657,14350,4838
2024-07-16 17:40:00-07:00,35747,14068,4858
2024-07-16 17:45:00-07:00,35926,13660,4856
2024-07-16 17:50:00-07:00,36144,13413,4846
2024-07-16 17:55:00-07:00,36446,13076,4832
2024-07-16 18:00:00-07:00,36604,12617,4840
2024-07-16 18:05:00-07:00,36360,12197,4868
2024-07-16 18:10:00-07:00,36247,11788,4911
2024-07-16 18:15:00-07:00,36339,11280,4948
2024-07-16 18:20:00-07:00,36467,10785,5004
2024-07-16 18:25:00-07:00,36554,10236,4981
2024-07-16 18:30:00-07:00,36676,9628,4940
2024-07-16 18:35:00-07:00,36835,8979,4929
2024-07-16 18:40:00-07:00,37043,8316,4938
2024-07-16 18:45:00-07:00,37063,7587,4975
2024-07-16 18:50:00-07:00,37137,6879,4986
2024-07-16 18:55:00-07:00,37225,6213,4946
2024-07-16 19:00:00-07:00,37216,5544,4921
2024-07-16 19:05:00-07:00,37153,4889,4882
2024-07-16 19:10:00-07:00,37072,4264,4872
2024-07-16 19:15:00-07:00,37039,3696,4846
2024-07-16 19:20:00-07:00,37011,3147,4858
2024-07-16 19:25:00-07:00,36971,2648,4854
2024-07-16 19:30:00-07:00,36936,2190,4855
2024-07-16 19:35:00-07:00,36959,1774,4846
2024-07-16 19:40:00-07:00,36853,1447,4853
2024-07-16 19:45:00-07:00,36696,1187,4800
2024-07-16 19:50:00-07:00,36635,985,4749
2024-07-16 19:55:00-07:00,36375,606,4720
2024-07-16 20:00:00-07:00,35932,182,4706
2024-07-16 20:05:00-07:00,35845,85,4722
2024-07-16 20:10:00-07:00,35750,33,4696
2024-07-16 20:15:00-07:00,35698,13,4688
2024-07-16 20:20:00-07:00,35667,-12,4760
2024-07-16 20:25:00-07:00,35662,-14,4883
2024-07-16 20:30:00-07:00,35611,-13,4974
2024-07-16 20:35:00-07:00,35635,-13,5034
2024-07-16 20:40:00-07:00,35617,-12,4985
